scope,section,key,value
it,top10_rank,google.com,1
it,top10_rank,googleapis.com,2
it,top10_rank,facebook.com,3
it,top10_rank,gstatic.com,4
it,top10_rank,microsoft.com,5
it,top10_rank,apple.com,6
it,top10_rank,instagram.com,7
it,top10_rank,whatsapp.net,8
it,top10_rank,akadns.net,9
it,top10_rank,amazonaws.com,10
global,top10_rank,google.com,1
global,top10_rank,googleapis.com,2
global,top10_rank,cloudflare.com,3
global,top10_rank,gstatic.com,4
global,top10_rank,apple.com,5
global,top10_rank,microsoft.com,6
global,top10_rank,facebook.com,7
global,top10_rank,amazonaws.com,8
global,top10_rank,googlevideo.com,9
global,top10_rank,fbcdn.net,10
it,ai_platform_rank,OpenAI ChatGPT,29
it,ai_platform_bucket,OpenAI ChatGPT,200
it,ai_platform_rank,OpenAI,36
it,ai_platform_bucket,OpenAI,200
it,ai_platform_rank,Anthropic Claude,
it,ai_platform_bucket,Anthropic Claude,500
it,ai_platform_rank,Anthropic,
it,ai_platform_bucket,Anthropic,500
it,ai_platform_rank,DeepSeek,
it,ai_platform_bucket,DeepSeek,1000
it,ai_platform_rank,Google Gemini,
it,ai_platform_bucket,Google Gemini,>200000
it,ai_platform_rank,Microsoft Copilot,
it,ai_platform_bucket,Microsoft Copilot,>200000
it,ai_platform_rank,Meta AI,
it,ai_platform_bucket,Meta AI,20000
it,ai_platform_rank,xAI Grok,
it,ai_platform_bucket,xAI Grok,2000
it,ai_platform_rank,Character.AI,
it,ai_platform_bucket,Character.AI,2000
it,ai_platform_rank,Poe,
it,ai_platform_bucket,Poe,10000
it,ai_platform_rank,Mistral,
it,ai_platform_bucket,Mistral,20000
it,ai_platform_rank,Perplexity,
it,ai_platform_bucket,Perplexity,500
it,ai_platform_rank,Brave Search,
it,ai_platform_bucket,Brave Search,500
it,ai_platform_rank,Kagi,
it,ai_platform_bucket,Kagi,20000
it,ai_platform_rank,Hugging Face,
it,ai_platform_bucket,Hugging Face,2000
it,ai_platform_rank,Notion AI,
it,ai_platform_bucket,Notion AI,2000
global,ai_platform_rank,OpenAI ChatGPT,29
global,ai_platform_bucket,OpenAI ChatGPT,200
global,ai_platform_rank,OpenAI,36
global,ai_platform_bucket,OpenAI,200
global,ai_platform_rank,Anthropic Claude,
global,ai_platform_bucket,Anthropic Claude,500
global,ai_platform_rank,Anthropic,
global,ai_platform_bucket,Anthropic,500
global,ai_platform_rank,DeepSeek,
global,ai_platform_bucket,DeepSeek,1000
global,ai_platform_rank,Google Gemini,
global,ai_platform_bucket,Google Gemini,>200000
global,ai_platform_rank,Microsoft Copilot,
global,ai_platform_bucket,Microsoft Copilot,>200000
global,ai_platform_rank,Meta AI,
global,ai_platform_bucket,Meta AI,20000
global,ai_platform_rank,xAI Grok,
global,ai_platform_bucket,xAI Grok,2000
global,ai_platform_rank,Character.AI,
global,ai_platform_bucket,Character.AI,2000
global,ai_platform_rank,Poe,
global,ai_platform_bucket,Poe,10000
global,ai_platform_rank,Mistral,
global,ai_platform_bucket,Mistral,20000
global,ai_platform_rank,Perplexity,
global,ai_platform_bucket,Perplexity,500
global,ai_platform_rank,Brave Search,
global,ai_platform_bucket,Brave Search,500
global,ai_platform_rank,Kagi,
global,ai_platform_bucket,Kagi,20000
global,ai_platform_rank,Hugging Face,
global,ai_platform_bucket,Hugging Face,2000
global,ai_platform_rank,Notion AI,
global,ai_platform_bucket,Notion AI,2000
it,trends_avg,ChatGPT,79
it,trends_avg,Gemini,45
it,trends_avg,Claude,9
it,trends_avg,Perplexity,3
it,trends_avg,DeepSeek,2
it,trends_avg,Grok,2
it,industry_pct,Retail,17.287202
it,industry_pct,Computer Software,10.013404
it,industry_pct,"Leisure, Travel & Tourism",7.763231
it,industry_pct,Internet,5.518474
it,industry_pct,Information Technology and Services,5.512381
it,industry_pct,Online Media,4.040021
it,industry_pct,Financial Services,3.517418
it,industry_pct,Telecommunications,2.833024
it,industry_pct,software,2.775484
it,industry_pct,other,40.739365
global,industry_pct,Retail,28.897762
global,industry_pct,Computer Software,13.288548
global,industry_pct,Internet,5.364004
global,industry_pct,Information Technology and Services,5.209998
global,industry_pct,Adult Entertainment,3.661403
global,industry_pct,Telecommunications,2.823475
global,industry_pct,software,2.520045
global,industry_pct,Online Media,2.497539
global,industry_pct,Hospitality,2.295326
global,industry_pct,other,33.441918
it,os_pct,ANDROID,36.957848
it,os_pct,WINDOWS,32.284647
it,os_pct,IOS,19.093331
it,os_pct,MACOSX,9.311156
it,os_pct,LINUX,2.06457
it,os_pct,CHROMEOS,0.228949
it,os_pct,SMART_TV,0.0595
global,os_pct,ANDROID,35.014307
global,os_pct,WINDOWS,34.198585
global,os_pct,IOS,17.119779
global,os_pct,MACOSX,9.83428
global,os_pct,LINUX,3.326432
global,os_pct,CHROMEOS,0.391259
global,os_pct,SMART_TV,0.115358
it,bot_human_pct,human,74.307669
it,bot_human_pct,bot,25.692331
global,bot_human_pct,human,62.593618
global,bot_human_pct,bot,37.406382
