scope,section,key,value
it,top10_rank,google.com,1
it,top10_rank,googleapis.com,2
it,top10_rank,facebook.com,3
it,top10_rank,microsoft.com,4
it,top10_rank,apple.com,5
it,top10_rank,gstatic.com,6
it,top10_rank,instagram.com,7
it,top10_rank,whatsapp.net,8
it,top10_rank,akadns.net,9
it,top10_rank,amazonaws.com,10
global,top10_rank,google.com,1
global,top10_rank,googleapis.com,2
global,top10_rank,cloudflare.com,3
global,top10_rank,gstatic.com,4
global,top10_rank,apple.com,5
global,top10_rank,microsoft.com,6
global,top10_rank,amazonaws.com,7
global,top10_rank,facebook.com,8
global,top10_rank,googlevideo.com,9
global,top10_rank,fbcdn.net,10
it,ai_platform_rank,OpenAI ChatGPT,43
it,ai_platform_bucket,OpenAI ChatGPT,100
it,ai_platform_rank,OpenAI,38
it,ai_platform_bucket,OpenAI,100
it,ai_platform_rank,Anthropic Claude,
it,ai_platform_bucket,Anthropic Claude,>200000
it,ai_platform_rank,Anthropic,
it,ai_platform_bucket,Anthropic,>200000
it,ai_platform_rank,DeepSeek,
it,ai_platform_bucket,DeepSeek,>200000
it,ai_platform_rank,Google Gemini,
it,ai_platform_bucket,Google Gemini,>200000
it,ai_platform_rank,Microsoft Copilot,
it,ai_platform_bucket,Microsoft Copilot,>200000
it,ai_platform_rank,Meta AI,
it,ai_platform_bucket,Meta AI,>200000
it,ai_platform_rank,xAI Grok,
it,ai_platform_bucket,xAI Grok,>200000
it,ai_platform_rank,Character.AI,
it,ai_platform_bucket,Character.AI,>200000
it,ai_platform_rank,Poe,
it,ai_platform_bucket,Poe,>200000
it,ai_platform_rank,Mistral,
it,ai_platform_bucket,Mistral,>200000
it,ai_platform_rank,Perplexity,
it,ai_platform_bucket,Perplexity,>200000
it,ai_platform_rank,Brave Search,
it,ai_platform_bucket,Brave Search,>200000
it,ai_platform_rank,Kagi,
it,ai_platform_bucket,Kagi,>200000
it,ai_platform_rank,Hugging Face,
it,ai_platform_bucket,Hugging Face,>200000
it,ai_platform_rank,Notion AI,
it,ai_platform_bucket,Notion AI,>200000
global,ai_platform_rank,OpenAI ChatGPT,32
global,ai_platform_bucket,OpenAI ChatGPT,200
global,ai_platform_rank,OpenAI,33
global,ai_platform_bucket,OpenAI,200
global,ai_platform_rank,Anthropic Claude,
global,ai_platform_bucket,Anthropic Claude,500
global,ai_platform_rank,Anthropic,
global,ai_platform_bucket,Anthropic,500
global,ai_platform_rank,DeepSeek,
global,ai_platform_bucket,DeepSeek,1000
global,ai_platform_rank,Google Gemini,
global,ai_platform_bucket,Google Gemini,>200000
global,ai_platform_rank,Microsoft Copilot,
global,ai_platform_bucket,Microsoft Copilot,>200000
global,ai_platform_rank,Meta AI,
global,ai_platform_bucket,Meta AI,10000
global,ai_platform_rank,xAI Grok,
global,ai_platform_bucket,xAI Grok,2000
global,ai_platform_rank,Character.AI,
global,ai_platform_bucket,Character.AI,2000
global,ai_platform_rank,Poe,
global,ai_platform_bucket,Poe,20000
global,ai_platform_rank,Mistral,
global,ai_platform_bucket,Mistral,10000
global,ai_platform_rank,Perplexity,
global,ai_platform_bucket,Perplexity,500
global,ai_platform_rank,Brave Search,
global,ai_platform_bucket,Brave Search,500
global,ai_platform_rank,Kagi,
global,ai_platform_bucket,Kagi,50000
global,ai_platform_rank,Hugging Face,
global,ai_platform_bucket,Hugging Face,2000
global,ai_platform_rank,Notion AI,
global,ai_platform_bucket,Notion AI,2000
it,trends_avg,ChatGPT,80
it,trends_avg,Gemini,53
it,trends_avg,Claude,11
it,trends_avg,Perplexity,2
it,trends_avg,DeepSeek,2
it,trends_avg,Grok,2
global,trends_avg,ChatGPT,73
global,trends_avg,Gemini,40
global,trends_avg,Claude,11
global,trends_avg,Perplexity,2
global,trends_avg,DeepSeek,3
global,trends_avg,Grok,3
it,industry_pct,Retail,26.486873
it,industry_pct,"Leisure, Travel & Tourism",10.916019
it,industry_pct,Computer Software,8.227542
it,industry_pct,Internet,7.854902
it,industry_pct,Information Technology and Services,5.229584
it,industry_pct,software,3.069538
it,industry_pct,Online Media,2.692688
it,industry_pct,Information Services,2.393735
it,industry_pct,Media,2.320049
it,industry_pct,other,30.809066
global,industry_pct,Retail,27.740691
global,industry_pct,Computer Software,13.538079
global,industry_pct,Internet,5.854938
global,industry_pct,Information Technology and Services,5.179883
global,industry_pct,Telecommunications,3.067148
global,industry_pct,Information Services,2.813102
global,industry_pct,software,2.635146
global,industry_pct,Online Media,2.605965
global,industry_pct,Gambling & Casinos,2.52763
global,industry_pct,other,34.037419
it,os_pct,ANDROID,37.316509
it,os_pct,WINDOWS,31.610452
it,os_pct,IOS,19.49245
it,os_pct,MACOSX,9.101465
it,os_pct,LINUX,2.165466
it,os_pct,CHROMEOS,0.251277
it,os_pct,SMART_TV,0.062381
global,os_pct,WINDOWS,34.712042
global,os_pct,ANDROID,33.607406
global,os_pct,IOS,16.989551
global,os_pct,MACOSX,10.75396
global,os_pct,LINUX,3.240426
global,os_pct,CHROMEOS,0.60464
global,os_pct,SMART_TV,0.091975
it,bot_human_pct,human,81.913741
it,bot_human_pct,bot,18.086259
global,bot_human_pct,human,63.607678
global,bot_human_pct,bot,36.392322
